,estacion,concentracion,dt
5834,47,2.0,2019-04-04 04:00:00
5841,48,1.0,2019-04-04 04:00:00
5849,24,1.0,2019-04-04 04:00:00
5861,38,2.0,2019-04-04 05:00:00
5881,8,3.0,2019-04-04 05:00:00
5888,47,3.0,2019-04-04 05:00:00
5892,50,1.0,2019-04-04 05:00:00
5908,24,2.0,2019-04-04 05:00:00
5926,48,1.0,2019-04-04 05:00:00
5932,24,3.0,2019-04-04 06:00:00
5935,47,1.0,2019-04-04 06:00:00
5951,38,1.0,2019-04-04 06:00:00
5987,8,2.0,2019-04-04 06:00:00
5999,48,1.0,2019-04-04 06:00:00
6003,50,4.0,2019-04-04 06:00:00
6007,8,6.0,2019-04-04 07:00:00
6020,38,1.0,2019-04-04 07:00:00
6021,47,3.0,2019-04-04 07:00:00
6030,50,2.0,2019-04-04 07:00:00
6054,24,2.0,2019-04-04 07:00:00
6064,48,4.0,2019-04-04 07:00:00
6084,48,4.0,2019-04-04 08:00:00
6093,50,5.0,2019-04-04 08:00:00
6103,8,5.0,2019-04-04 08:00:00
6108,24,1.0,2019-04-04 08:00:00
6121,38,5.0,2019-04-04 08:00:00
6141,47,2.0,2019-04-04 08:00:00
6158,48,2.0,2019-04-04 09:00:00
6171,50,6.0,2019-04-04 09:00:00
6176,38,4.0,2019-04-04 09:00:00
6189,47,3.0,2019-04-04 09:00:00
6200,24,2.0,2019-04-04 09:00:00
6222,8,9.0,2019-04-04 09:00:00
6232,24,3.0,2019-04-04 10:00:00
6243,50,7.0,2019-04-04 10:00:00
6274,48,6.0,2019-04-04 10:00:00
6278,38,7.0,2019-04-04 10:00:00
6280,8,7.0,2019-04-04 10:00:00
6301,47,3.0,2019-04-04 10:00:00
6319,48,6.0,2019-04-04 11:00:00
6323,50,10.0,2019-04-04 11:00:00
6325,24,3.0,2019-04-04 11:00:00
6354,47,4.0,2019-04-04 11:00:00
6366,38,8.0,2019-04-04 11:00:00
6379,8,6.0,2019-04-04 11:00:00
6403,24,7.0,2019-04-04 12:00:00
6410,8,8.0,2019-04-04 12:00:00
6422,48,8.0,2019-04-04 12:00:00
6444,38,10.0,2019-04-04 12:00:00
6446,50,14.0,2019-04-04 12:00:00
6449,47,5.0,2019-04-04 12:00:00
6468,8,12.0,2019-04-04 13:00:00
6471,24,7.0,2019-04-04 13:00:00
6489,48,5.0,2019-04-04 13:00:00
6494,50,7.0,2019-04-04 13:00:00
6509,47,5.0,2019-04-04 13:00:00
6529,38,9.0,2019-04-04 13:00:00
6544,8,2.0,2019-04-04 14:00:00
6567,47,1.0,2019-04-04 14:00:00
6577,48,10.0,2019-04-04 14:00:00
6591,24,4.0,2019-04-04 14:00:00
6597,50,14.0,2019-04-04 14:00:00
6599,38,10.0,2019-04-04 14:00:00
6615,50,7.0,2019-04-04 15:00:00
6627,24,1.0,2019-04-04 15:00:00
6653,8,4.0,2019-04-04 15:00:00
6667,48,5.0,2019-04-04 15:00:00
6675,47,4.0,2019-04-04 15:00:00
6684,38,4.0,2019-04-04 15:00:00
6705,50,3.0,2019-04-04 16:00:00
6733,8,8.0,2019-04-04 16:00:00
6734,38,1.0,2019-04-04 16:00:00
6740,48,5.0,2019-04-04 16:00:00
6754,47,1.0,2019-04-04 16:00:00
6760,24,1.0,2019-04-04 16:00:00
6764,24,1.0,2019-04-04 17:00:00
6780,8,9.0,2019-04-04 17:00:00
6802,50,14.0,2019-04-04 17:00:00
6806,48,4.0,2019-04-04 17:00:00
6828,38,3.0,2019-04-04 17:00:00
6839,47,1.0,2019-04-04 17:00:00
6856,24,3.0,2019-04-04 18:00:00
6873,50,3.0,2019-04-04 18:00:00
6876,38,5.0,2019-04-04 18:00:00
6883,48,5.0,2019-04-04 18:00:00
6895,8,8.0,2019-04-04 18:00:00
6903,47,3.0,2019-04-04 18:00:00
6931,38,4.0,2019-04-04 19:00:00
6943,8,16.0,2019-04-04 19:00:00
6962,48,5.0,2019-04-04 19:00:00
6964,24,4.0,2019-04-04 19:00:00
6970,47,1.0,2019-04-04 19:00:00
6985,50,5.0,2019-04-04 19:00:00
7012,38,6.0,2019-04-04 20:00:00
7014,24,2.0,2019-04-04 20:00:00
