,estacion,concentracion,dt
2348,50,4.0,2019-04-02 06:00:00
2355,57,11.0,2019-04-02 06:00:00
2357,40,11.0,2019-04-02 07:00:00
2359,38,7.0,2019-04-02 07:00:00
2361,50,8.0,2019-04-02 07:00:00
2363,8,14.0,2019-04-02 07:00:00
2373,36,21.0,2019-04-02 07:00:00
2379,57,20.0,2019-04-02 07:00:00
2382,18,9.0,2019-04-02 07:00:00
2391,48,10.0,2019-04-02 07:00:00
2392,60,5.0,2019-04-02 07:00:00
2416,55,32.0,2019-04-02 07:00:00
2418,47,15.0,2019-04-02 07:00:00
2429,24,1.0,2019-04-02 07:00:00
2437,60,13.0,2019-04-02 08:00:00
2438,38,11.0,2019-04-02 08:00:00
2450,18,12.0,2019-04-02 08:00:00
2458,55,24.0,2019-04-02 08:00:00
2467,40,16.0,2019-04-02 08:00:00
2470,48,14.0,2019-04-02 08:00:00
2476,36,20.0,2019-04-02 08:00:00
2480,50,17.0,2019-04-02 08:00:00
2482,47,12.0,2019-04-02 08:00:00
2487,57,29.0,2019-04-02 08:00:00
2489,8,16.0,2019-04-02 08:00:00
2503,24,1.0,2019-04-02 08:00:00
2516,60,34.0,2019-04-02 09:00:00
2518,40,16.0,2019-04-02 09:00:00
2530,36,33.0,2019-04-02 09:00:00
2533,18,23.0,2019-04-02 09:00:00
2535,55,38.0,2019-04-02 09:00:00
2539,24,3.0,2019-04-02 09:00:00
2541,38,20.0,2019-04-02 09:00:00
2550,47,11.0,2019-04-02 09:00:00
2554,8,24.0,2019-04-02 09:00:00
2562,57,34.0,2019-04-02 09:00:00
2565,50,27.0,2019-04-02 09:00:00
2573,48,16.0,2019-04-02 09:00:00
2586,48,24.0,2019-04-02 10:00:00
2597,50,32.0,2019-04-02 10:00:00
2607,8,31.0,2019-04-02 10:00:00
2613,24,6.0,2019-04-02 10:00:00
2620,55,36.0,2019-04-02 10:00:00
2622,36,55.0,2019-04-02 10:00:00
2625,38,37.0,2019-04-02 10:00:00
2627,57,23.0,2019-04-02 10:00:00
2629,47,13.0,2019-04-02 10:00:00
2650,18,22.0,2019-04-02 10:00:00
2651,40,48.0,2019-04-02 10:00:00
2656,60,24.0,2019-04-02 10:00:00
2660,8,40.0,2019-04-02 11:00:00
2663,55,41.0,2019-04-02 11:00:00
2683,47,17.0,2019-04-02 11:00:00
2689,36,49.0,2019-04-02 11:00:00
2693,60,13.0,2019-04-02 11:00:00
2703,24,11.0,2019-04-02 11:00:00
2710,48,33.0,2019-04-02 11:00:00
2711,57,19.0,2019-04-02 11:00:00
2712,40,29.0,2019-04-02 11:00:00
2715,18,24.0,2019-04-02 11:00:00
2719,38,42.0,2019-04-02 11:00:00
2723,50,36.0,2019-04-02 11:00:00
2755,47,17.0,2019-04-02 12:00:00
2764,36,50.0,2019-04-02 12:00:00
2766,40,23.0,2019-04-02 12:00:00
2769,50,41.0,2019-04-02 12:00:00
2775,57,23.0,2019-04-02 12:00:00
2777,55,54.0,2019-04-02 12:00:00
2787,60,14.0,2019-04-02 12:00:00
2788,38,27.0,2019-04-02 12:00:00
2789,48,31.0,2019-04-02 12:00:00
2793,18,20.0,2019-04-02 12:00:00
2801,8,50.0,2019-04-02 12:00:00
2802,24,16.0,2019-04-02 12:00:00
2812,36,41.0,2019-04-02 13:00:00
2815,55,52.0,2019-04-02 13:00:00
2822,8,35.0,2019-04-02 13:00:00
2825,60,13.0,2019-04-02 13:00:00
2826,40,6.0,2019-04-02 13:00:00
2830,24,24.0,2019-04-02 13:00:00
2834,48,27.0,2019-04-02 13:00:00
2846,50,40.0,2019-04-02 13:00:00
2847,38,24.0,2019-04-02 13:00:00
2850,47,15.0,2019-04-02 13:00:00
2856,18,18.0,2019-04-02 13:00:00
2874,57,10.0,2019-04-02 13:00:00
2889,8,26.0,2019-04-02 14:00:00
2892,48,31.0,2019-04-02 14:00:00
2901,38,33.0,2019-04-02 14:00:00
2907,47,16.0,2019-04-02 14:00:00
2922,50,28.0,2019-04-02 14:00:00
2929,55,43.0,2019-04-02 14:00:00
2930,57,1.0,2019-04-02 14:00:00
2938,40,15.0,2019-04-02 14:00:00
2942,60,2.0,2019-04-02 14:00:00
2945,24,24.0,2019-04-02 14:00:00
2958,36,34.0,2019-04-02 14:00:00
2961,18,28.0,2019-04-02 14:00:00
2969,57,14.0,2019-04-02 15:00:00
2972,38,23.0,2019-04-02 15:00:00
2986,50,25.0,2019-04-02 15:00:00
2992,8,29.0,2019-04-02 15:00:00
2997,40,3.0,2019-04-02 15:00:00
3006,36,32.0,2019-04-02 15:00:00
3007,18,22.0,2019-04-02 15:00:00
3014,24,12.0,2019-04-02 15:00:00
3016,48,27.0,2019-04-02 15:00:00
3017,55,42.0,2019-04-02 15:00:00
3020,47,21.0,2019-04-02 15:00:00
3035,60,28.0,2019-04-02 15:00:00
3042,55,29.0,2019-04-02 16:00:00
3050,36,39.0,2019-04-02 16:00:00
3061,38,11.0,2019-04-02 16:00:00
3062,57,19.0,2019-04-02 16:00:00
3064,8,19.0,2019-04-02 16:00:00
3074,47,17.0,2019-04-02 16:00:00
3076,48,20.0,2019-04-02 16:00:00
3096,50,16.0,2019-04-02 16:00:00
3100,18,13.0,2019-04-02 16:00:00
3102,40,65.0,2019-04-02 16:00:00
3105,60,21.0,2019-04-02 16:00:00
3110,24,10.0,2019-04-02 16:00:00
3116,40,3.0,2019-04-02 17:00:00
3138,55,16.0,2019-04-02 17:00:00
3141,50,22.0,2019-04-02 17:00:00
3144,36,28.0,2019-04-02 17:00:00
3151,57,19.0,2019-04-02 17:00:00
3154,8,12.0,2019-04-02 17:00:00
3155,18,9.0,2019-04-02 17:00:00
3164,24,2.0,2019-04-02 17:00:00
3173,48,15.0,2019-04-02 17:00:00
3179,38,12.0,2019-04-02 17:00:00
3186,47,12.0,2019-04-02 17:00:00
3187,60,8.0,2019-04-02 17:00:00
3194,55,12.0,2019-04-02 18:00:00
3198,47,14.0,2019-04-02 18:00:00
3201,57,52.0,2019-04-02 18:00:00
3202,50,8.0,2019-04-02 18:00:00
3203,40,18.0,2019-04-02 18:00:00
3206,8,12.0,2019-04-02 18:00:00
3208,38,9.0,2019-04-02 18:00:00
3210,18,10.0,2019-04-02 18:00:00
3217,36,22.0,2019-04-02 18:00:00
3218,24,2.0,2019-04-02 18:00:00
3240,48,12.0,2019-04-02 18:00:00
3244,60,31.0,2019-04-02 18:00:00
3295,24,2.0,2019-04-02 19:00:00
3296,57,1.0,2019-04-02 19:00:00
3317,36,36.0,2019-04-02 19:00:00
3319,47,4.0,2019-04-02 19:00:00
3321,60,1.0,2019-04-02 19:00:00
3326,40,5.0,2019-04-02 19:00:00
3332,48,7.0,2019-04-02 19:00:00
3333,38,12.0,2019-04-02 19:00:00
