,estacion,concentracion,dt
2977,16,15.69,2019-04-02 15:00:00
2979,49,64.51,2019-04-02 15:00:00
2980,8,55.2,2019-04-02 15:00:00
2981,56,76.42,2019-04-02 15:00:00
2985,39,79.12,2019-04-02 15:00:00
2987,18,88.99,2019-04-02 15:00:00
2988,58,89.03,2019-04-02 15:00:00
2991,35,58.05,2019-04-02 15:00:00
3009,54,75.25,2019-04-02 15:00:00
3026,60,77.0,2019-04-02 15:00:00
3028,17,85.5,2019-04-02 15:00:00
3029,27,57.29,2019-04-02 15:00:00
3039,24,89.73,2019-04-02 15:00:00
3043,59,85.54,2019-04-02 16:00:00
3054,58,87.76,2019-04-02 16:00:00
3075,8,53.54,2019-04-02 16:00:00
3077,56,79.87,2019-04-02 16:00:00
3078,17,77.79,2019-04-02 16:00:00
3082,27,71.34,2019-04-02 16:00:00
3090,54,83.2,2019-04-02 16:00:00
3092,18,82.85,2019-04-02 16:00:00
3093,60,86.18,2019-04-02 16:00:00
3094,24,91.93,2019-04-02 16:00:00
3098,35,67.49,2019-04-02 16:00:00
3099,16,26.11,2019-04-02 16:00:00
3108,39,82.3,2019-04-02 16:00:00
3113,49,73.4,2019-04-02 16:00:00
3118,18,90.06,2019-04-02 17:00:00
3125,56,87.37,2019-04-02 17:00:00
3131,54,75.94,2019-04-02 17:00:00
3134,8,66.55,2019-04-02 17:00:00
3145,39,90.1,2019-04-02 17:00:00
3156,58,82.66,2019-04-02 17:00:00
3157,35,78.36,2019-04-02 17:00:00
3162,49,87.71,2019-04-02 17:00:00
3169,27,81.55,2019-04-02 17:00:00
3171,60,84.65,2019-04-02 17:00:00
3172,16,32.32,2019-04-02 17:00:00
3174,24,96.25,2019-04-02 17:00:00
3182,17,79.61,2019-04-02 17:00:00
3189,59,87.55,2019-04-02 17:00:00
3192,16,40.91,2019-04-02 18:00:00
3193,35,73.74,2019-04-02 18:00:00
3197,17,73.05,2019-04-02 18:00:00
3204,24,94.1,2019-04-02 18:00:00
3207,49,84.27,2019-04-02 18:00:00
3225,60,83.6,2019-04-02 18:00:00
3227,54,81.96,2019-04-02 18:00:00
3236,39,76.92,2019-04-02 18:00:00
3242,59,85.39,2019-04-02 18:00:00
3243,58,87.88,2019-04-02 18:00:00
3252,8,54.53,2019-04-02 18:00:00
3253,18,84.32,2019-04-02 18:00:00
3255,27,81.1,2019-04-02 18:00:00
3261,56,81.25,2019-04-02 18:00:00
3277,8,50.91,2019-04-02 19:00:00
3285,17,71.22,2019-04-02 19:00:00
3287,49,85.92,2019-04-02 19:00:00
3301,27,76.28,2019-04-02 19:00:00
3302,58,91.68,2019-04-02 19:00:00
3306,35,72.75,2019-04-02 19:00:00
3308,56,74.22,2019-04-02 19:00:00
3309,39,70.52,2019-04-02 19:00:00
3311,18,85.35,2019-04-02 19:00:00
3315,24,93.25,2019-04-02 19:00:00
3316,59,83.11,2019-04-02 19:00:00
3323,60,84.19,2019-04-02 19:00:00
3327,54,80.84,2019-04-02 19:00:00
3331,16,41.74,2019-04-02 19:00:00
3355,35,67.78,2019-04-02 20:00:00
3366,17,62.63,2019-04-02 20:00:00
3367,59,77.28,2019-04-02 20:00:00
3371,8,50.67,2019-04-02 20:00:00
3372,60,81.83,2019-04-02 20:00:00
3377,39,64.98,2019-04-02 20:00:00
3386,58,94.19,2019-04-02 20:00:00
3388,18,78.74,2019-04-02 20:00:00
3396,24,91.76,2019-04-02 20:00:00
3400,54,72.21,2019-04-02 20:00:00
3403,16,35.79,2019-04-02 20:00:00
3405,27,73.67,2019-04-02 20:00:00
3410,56,64.27,2019-04-02 20:00:00
3415,49,75.71,2019-04-02 20:00:00
3421,16,25.5,2019-04-02 21:00:00
3427,17,52.18,2019-04-02 21:00:00
3430,54,59.58,2019-04-02 21:00:00
3438,49,44.71,2019-04-02 21:00:00
3439,18,64.56,2019-04-02 21:00:00
3442,39,52.49,2019-04-02 21:00:00
3463,8,34.33,2019-04-02 21:00:00
3465,56,46.69,2019-04-02 21:00:00
3474,58,80.29,2019-04-02 21:00:00
3478,24,79.51,2019-04-02 21:00:00
3483,60,73.18,2019-04-02 21:00:00
